project_number,person_id_snsf,role,institute_name,institute_place,institute_id_p3
177585,745282,employee,NA,NA,NA
152017,634069,applicant,Centre Suisse de Recherche Scientifique,Abidjan,82651
177584,634069,applicant,Centre Suisse de Recherche Scientifique,Abidjan,82651
160373,594705,employee,"Dipartimento economia aziendale, sanità e sociale (DEASS) SUPSI",Manno,244222
147286,617328,applicant,Swiss Tropical and Public Health Institute,Basel,3448
152033,552602,applicant,COMPAS Comunidad Pluricultural Andino-Amazonica Para la Sustentabilidad,Cochabamba,259072
177386,552602,applicant,COMPAS Comunidad Pluricultural Andino-Amazonica Para la Sustentabilidad,Cochabamba,259072
177585,552602,applicant,COMPAS Comunidad Pluricultural Andino-Amazonica Para la Sustentabilidad,Cochabamba,259072
193980,564146,responsible_applicant,Abteilung Islamwissenschaft Asien-Orient-Institut Universität Zürich,Zürich,6686
152154,659642,employee,NA,NA,NA
171177,623448,responsible_applicant,Haute Ecole de Gestion de Geneve HES-SO,Carouge,247342
147718,623448,applicant,Haute Ecole de Gestion de Geneve HES-SO,Carouge,247342
193649,768771,applicant,Dep. Energy and Environmental Engineering School of Engineering University of Natural Resources,Sunyani,252019
152019,644062,applicant,Department of Communication Sciences Faculty of Human Ecology Bogor Agricultural University (IPB),Bogor,242672
177587,644062,applicant,Department of Communication Sciences Faculty of Human Ecology Bogor Agricultural University (IPB),Bogor,242672
171177,800639,employee,NA,NA,NA
169461,662063,applicant,Institut de Recherche en Sciences dela Santé Centre National de Recherche Scientifique et Technologique,Ouagadougou,244398
194003,662063,applicant,Institut de Recherche en Sciences dela Santé Centre National de Recherche Scientifique et Technologique,Ouagadougou,244398
190140,774137,employee,NA,NA,NA
190140,778827,employee,NA,NA,NA
152017,626842,applicant,World Agroforestry Center,Abidjan,240705
177584,626842,applicant,World Agroforestry Center,Abidjan,240705
177592,755828,employee,Centre for Development and Environment (CDE)  Universität Bern,Bern,255857
194003,785048,employee,NA,NA,NA
177582,651305,employee,IAM Institut für Angewandte Medienwissenschaft ZHAW,Winterthur,232147
177480,706778,applicant,Forest Products Research & Development Inst. Chemistry and Biotechnology Section,Laguna,249686
177296,706379,applicant,Section de Sociologie UFR de Lettres et Sciences Humaines Université Gaston Berger,St. Louis,249562
152034,663253,employee,"Pogramme genre, globalisation et changements  IHEID",Genève 21,242757
