last_name,first_name,gender,institute_name,institute_place,person_id_snsf,ocrid,role,project_number
Nzene Halleson,Durrel,male,WWF Cameroon Programme Office Immeuble Panda,Yaoundé,645505,NA,projects_as_applicant,152019
Obrist,Brigit,female,Swiss Tropical and Public Health Institute,Basel,29512,NA,projects_as_applicant,160919
Oduro,Abena Frempoma Daagye,female,Department of Economics University of Ghana,Accra,632639,NA,projects_as_applicant,147836
Oduro,Franklin,male,Ghana Center for Democratic Development,Legon Accra,617284,NA,projects_as_applicant,147210
Okumu,Fredros,male,Ifakara Health Institute (IHI),"Ifakara, Morogoro",683117,NA,projects_as_applicant,169461
Oliva,Ricardo,male,NA,NA,739671,NA,projects_as_applicant,160877
Onyesoh,Joy Ada,female,WILPF Nigeria,Enugu,690466,NA,projects_as_applicant,171176
Onyesoh,Joy Ada,female,NA,NA,671512,NA,projects_as_applicant,146777
Osetinsky,Brianna,female,NA,NA,752759,NA,projects_as_employee,183760
Ouattara,Lassine,male,Université de Cocody,Abidjan,524806,NA,projects_as_applicant,146919
Oyuntsetseg,Dolgorjav,female,Laboratory of Ecological Chemistry Inst. of Chemistry and Chemical Technology Mongolian Academy of Sciences,Ulaanbaatar,706754,NA,projects_as_applicant,177474
Pacheco,Pablo,male,Forests and Governance Programme Center for International Forestry Research,Bogor,644054,NA,projects_as_applicant,152019
Paz Lemus,Tatiana,female,Universidad del Valle de Guatemala,Guatemala City,706662,NA,projects_as_applicant,177385
Penamora,Luisito J.,male,Philippine Coconut Autority Non-Food Products Development Division Zamboanga Research Center,Zamboanga City,706780,NA,projects_as_applicant,177480
Penton Fernandez,Gertrudis,female,Estacion Experimental de Pastos Indio Hatuey,Havana,706775,NA,projects_as_applicant,177346
Pérez Consuegra,Nilda,female,Agrarian University of Havana,San José de las Lajas,706781,NA,projects_as_applicant,177481
PESANTES VILLA,Maria Amalia,female,CRONICAS Universidad Peruana Cayetano Heradia,Lima,752980,NA,projects_as_employee,177385
Peter,Wilfred,male,Modilon General Hospital,Madang,674213,NA,projects_as_applicant,160909
Pimmer,Christoph,male,Swiss Educational Innovation Network SEIN Schweizerisches Netzwerk für Bildungsinnovat,Basel,598722,NA,projects_as_employee,160910
Pimmer,Christoph,male,Institut für Wirtschaftsinformatik Fachhochschule Nordwestschweiz Hochschule für Wirtschaft,Basel,598722,NA,projects_as_employee,160910
Pinède,Antoine,male,NA,NA,775605,NA,projects_as_employee,171177
Pomat,William,male,Institute of Medical Research Papua New Guinea,Goroka,662134,NA,projects_as_applicant,160909
Properzi,Milena,female,Haute école de gestion Arc HES-SO,Neuchâtel,528307,NA,projects_as_applicant,147330
Purevsuren,Dorj,male,National Renewable Energy Centre,Ulaanbaatar,706755,NA,projects_as_applicant,177474
Rahmawati,Arifah,female,CENTER FOR SECURITY AND PEACE STUDIES  GADJAH MADA UNIVERSITY,Yogyakarta,690467,NA,projects_as_applicant,171176
Raihan,Selim,male,Department of Economics University of Dhaka,Dhaka,623719,NA,projects_as_applicant,147836
Rakotomanana,Faly Hery,male,Institut National de la Statistique de Madagascar,Antananarivo,632636,NA,projects_as_applicant,147836
Randriamboavonjy,Jean Chrysostom,male,Ecole supérieure de sciences agronomiques ESSA Département Eaux et forêts,Antanarivo,617067,NA,projects_as_applicant,146791
Rankin,Neil Andrew,male,School of Economic and Business Sciences University of the Witwatersrand,Johannesburg,623723,NA,projects_as_applicant,147836
Razanaka,Samuel,male,Centre National de Recherche sur l'Environnement (CNRE),Antananarivo,617065,NA,projects_as_applicant,146791
Reinhard,Jürgen,male,NA,NA,641068,NA,projects_as_employee,146875
Ringera,Isaac,male,"SolidarMed, Swiss Organization for Health in",Butha-Buthe,674176,NA,projects_as_applicant,160876
Rodriguez Hernandez,Mayra Guadalupe,female,Centro Nacional de Sanidad Agropecuaria CENSA,Havanna,706774,NA,projects_as_applicant,177346
Rosas Benancio,Gabriela,female,Servicio Nacional de Meterologia e Hidrologia del Peru SENAMHI,Lima,626693,NA,projects_as_applicant,147320
Rossa,Andrea,male,Bundesamt für Meteorologie und Klimatologie MeteoSwiss,Zürich,626692,NA,projects_as_applicant,147320
Ruiz Zevallos,Juan Ruben,male,Universidad Catolica Sedes Sapientiae - Nopo,Atalaya,706663,NA,projects_as_applicant,177385
Saar,Martin O.,male,Institut für Geophysik ETH Zürich,Zürich,658535,0000-0002-4869-6452,projects_as_applicant,177474
Sahu,Maitreyi,female,NA,NA,725659,NA,projects_as_employee,160373
Salari,Paola,female,Swiss Tropical and Public Health Institute Health Interventions Unit,Basel,623749,NA,projects_as_employee,160373
Salavassa,João,male,Unilurio University Campus de Marrere,Nampula,674225,NA,projects_as_applicant,160897
Samaké,Odiaba,male,Centre Régional de Recherche Agronomique Institut d'Economie Rurale (IER),Sikasso,634586,NA,projects_as_applicant,152224
Samrock,Friedemann,male,Departement Erdwissenschaften ETH Zürich,Zürich,701762,NA,projects_as_responsible_applicant,177474
Sawe,Estomih N.,male,TaTEDO Centre for Sustainable Modern Energy Experti,Kijitonyama,617134,NA,projects_as_applicant,146875
Schär,Markus,male,"Architektur, Holz und Bau Berner Fachhochschule",Biel/Bienne 6,775445,NA,projects_as_employee,177480
Schmidt,Hans-Peter,male,Ithaka Institute for Carbon Strategies,Arbaz,705801,0000-0001-8275-7506,projects_as_responsible_applicant,177346
Schuler,Maria-Theres,female,Ethnologisches Seminar Universität Zürich,Zürich,616658,0000-0002-1233-0782,projects_as_employee,147350
Schwilch,Gudrun,female,Centre for Development and Environment (CDE) Universität Bern,Bern,89061,NA,projects_as_applicant,152167
Semenova,Elizaveta,female,NA,NA,672286,NA,projects_as_employee,147286
Shahid,Imran,male,Institute of Space Technology Department of Space Science,Islamabad,674247,NA,projects_as_applicant,160906
Sharma,Anjali,female,Centre Infectious Disease Research Zambia CIDRZ,Lusaka,706470,NA,projects_as_applicant,177319
Sichone,Owen,male,Copperbelt University Deg Hammarskjöld Institute for Peace Studies,Kitwe,690442,NA,projects_as_applicant,171175
Sié,Ali,male,Centre de Recherche en Santé de Nouna,"Nouna, Kossi",617327,NA,projects_as_applicant,147286
Sikazwe,Izukanji,female,Centre Infectious Disease Research Zambia CIDRZ,Lusaka,706471,NA,projects_as_applicant,177319
Sissoko,Fagaye,male,Centre Régional de Recherche Agronomique Institut d'Economie Rurale (IER),Sikasso,749392,NA,projects_as_applicant,177582
Sodnomsambuu,Demberel,male,Research Center of Astronomy and Geophysics Institute of Geophysics Mongolian Academy of Sciences,Ulaanbaatar - 51,706756,NA,projects_as_applicant,177474
Somerville,Claire,female,Graduate Institute of International and Deve Global Health Programme Maison de la paix,Genève,630669,NA,projects_as_applicant,160366
Somerville,Claire,female,Graduate Institute of International and Deve Global Health Programme Maison de la paix,Genève,630669,NA,projects_as_employee,152034
Somphou,Sayasone,male,Lao Tropical and Public Health Institute International Program for Health in Tropics,Vientiane,617233,NA,projects_as_applicant,160930
Sotelo,Alexia,female,NA,NA,754059,NA,projects_as_employee,169461
Spurk,Christoph,male,Institut für Angewandte Medienwissenschaften Zürcher Hochschule für Angew. Wissenschaften,Winterthur,533551,NA,projects_as_employee,177582
Spurk,Christoph,male,Forschungsinstitut für biologischen Landbau (FiBL),Frick,672753,NA,projects_as_employee,152224
Stamer,Andreas,male,Aquakultur Fachgruppe Tierwissenschaften Forschungsinstitut für biologischen Landbau,Frick,626669,NA,projects_as_employee,147278
Staub,Claudia,female,NA,NA,760835,NA,projects_as_employee,171191
Stringaro,Daniele,male,NA,NA,691709,NA,projects_as_employee,160906
Suarez Hernandez,Jesus,male,Estacion Experimental de Pastos Indio Hatuey,Havana,706773,NA,projects_as_applicant,177346
Suter,Melanie,female,Centre for Development and Environment (CDE) Universität Bern,Bern,759076,NA,projects_as_employee,177592
Tambo,Justice,male,NA,NA,768046,NA,projects_as_employee,177583
Teutoburg-Weiss,Hannes,male,NA,NA,709352,NA,projects_as_employee,169470
Thin,Kyaw,male,Golden Zaneka Public Co. Ltd.,Yangon,661996,NA,projects_as_applicant,160876
Thuy,Nguyen Thu,female,Foreign Trade University,Hanoi,623725,NA,projects_as_applicant,147836
Toliman,Pamela,female,Papua New Guinea PNG Institute of Medical Researh,Madang,674218,NA,projects_as_applicant,160909
